7584740,Devin,Jeramy,Vedenichev,103,1951-12-31T05:00:00.000Z,958-67-2937,55214
7677553,Marcus,Arlie,Tibb,103,1951-12-31T05:00:00.000Z,999-90-6698,47746
7736171,Pat,Johnie,De Keep,103,1951-12-31T05:00:00.000Z,960-92-7355,98868
7813417,Brooks,Dannie,Lemmens,103,1951-12-31T05:00:00.000Z,914-82-1490,69065
7929094,Milan,Alex,Setterfield,103,1951-12-31T05:00:00.000Z,989-42-1725,79877
8037265,Dexter,Otis,Brahmer,103,1951-12-31T05:00:00.000Z,959-50-1621,91473
8050195,Anibal,Nicky,Springford,103,1951-12-31T05:00:00.000Z,998-90-1376,62784
8053263,Karl,Horace,Thompson,103,1951-12-31T05:00:00.000Z,930-70-7868,90481
8125007,Quinton,Eduardo,Rooze,103,1951-12-31T05:00:00.000Z,903-21-6089,87389
8169581,Jc,Edison,Fruchter,103,1951-12-31T05:00:00.000Z,905-35-8052,58120
8206921,Sylvester,Faustino,Glasgow,103,1951-12-31T05:00:00.000Z,907-30-2443,43279
8230707,Juan,Dewayne,Leggitt,103,1951-12-31T05:00:00.000Z,965-56-5537,74107
8353995,Bill,Dirk,Negri,103,1951-12-31T05:00:00.000Z,905-76-4894,79389
8430873,Oren,August,Lachaize,103,1951-12-31T05:00:00.000Z,990-14-4688,82777
8448144,Dewayne,Hubert,Sturton,103,1951-12-31T05:00:00.000Z,917-37-8590,91109
8479988,Courtney,Long,Bellin,103,1951-12-31T05:00:00.000Z,906-26-2150,51099
8481731,Sung,Jamie,Haslin,103,1951-12-31T05:00:00.000Z,982-29-1779,75742
8596468,Walker,Francesco,O'Fallone,103,1951-12-31T05:00:00.000Z,962-42-6521,107650
8650756,Clyde,Royce,Readshall,103,1951-12-31T05:00:00.000Z,983-38-1342,88851
5073404,Dale,Brice,Casolla,105,1951-12-31T05:00:00.000Z,963-52-1303,102445
5106546,Lupe,Rod,Bullard,105,1951-12-31T05:00:00.000Z,901-76-7197,84274
5178737,Douglass,Seth,Cummine,105,1951-12-31T05:00:00.000Z,958-74-4222,81743
5265931,Abram,Eddie,Izzett,105,1951-12-31T05:00:00.000Z,962-45-3424,63223
5268793,Wilson,Landon,Chellam,105,1951-12-31T05:00:00.000Z,911-11-7847,88966
5371143,Kieth,Malcolm,Formigli,105,1951-12-31T05:00:00.000Z,666-37-6950,70655
5407756,Ted,Pablo,Lidgely,105,1951-12-31T05:00:00.000Z,994-52-7326,63100
5413070,Reid,Reyes,Kabos,105,1951-12-31T05:00:00.000Z,918-28-4915,90488
5422998,Buford,Leonel,Stanbro,105,1951-12-31T05:00:00.000Z,927-29-6346,100472
5530003,Milford,Samual,Manis,105,1951-12-31T05:00:00.000Z,907-28-9627,40950
5550873,Wm,Fredrick,Filshin,105,1951-12-31T05:00:00.000Z,934-69-5826,39809
5597718,Jeromy,Von,Daley,105,1951-12-31T05:00:00.000Z,991-24-2641,29644
5889924,Tyrell,Alonso,Hagyard,105,1951-12-31T05:00:00.000Z,903-55-7969,39093
5890431,George,Moises,Shurville,105,1951-12-31T05:00:00.000Z,956-30-5990,44500
6130212,Percy,Les,Lafontaine,105,1951-12-31T05:00:00.000Z,922-95-3154,73006
